yaw_enc,tempo
70.0,0.0
61.0,2.741953
70.0,2.79355
70.0,2.850527
79.0,27.804866999999998
70.0,27.861911
70.0,27.914762
79.0,29.934625
70.0,29.99163
70.0,30.040517
79.0,34.642011000000004
70.0,34.698985
70.0,34.747929
61.0,43.92668
61.0,43.979493
52.0,44.036539
43.0,49.06164
52.0,49.113566
52.0,49.167539
43.0,51.399065
52.0,61.550942
61.0,63.697058999999996
61.0,63.754194
70.0,63.804035999999996
