235,232,338,376,304.0,286.5,popa,popa 0.33,0.33,1645144008.7677052
242,265,290,350,307.5,266.0,proa,proa 0.49,0.49,1645144008.7677495
259,257,360,359,308.0,309.5,popa,popa 0.51,0.51,1645144010.5782125
174,244,211,334,289.0,192.5,proa,proa 0.54,0.54,1645144012.563427
196,233,348,314,273.5,272.0,proa,proa 0.46,0.46,1645144014.1850004
244,225,334,324,274.5,289.0,proa,proa 0.63,0.63,1645144015.7907577
224,237,350,318,277.5,287.0,proa,proa 0.72,0.72,1645144017.3865163
211,194,360,366,280.0,285.5,proa,proa 0.33,0.33,1645144026.0915763
27,156,360,325,240.5,193.5,proa,proa 0.43,0.43,1645144027.7474923
217,121,355,329,225.0,286.0,proa,proa 0.59,0.59,1645144029.6566577
193,118,360,351,234.5,276.5,proa,proa 0.56,0.56,1645144031.2615962
214,109,360,316,212.5,287.0,proa,proa 0.32,0.32,1645144036.3466566
0,0,360,640,320.0,180.0,navio,navio 0.41,0.41,1645144054.7088807
59,0,360,640,320.0,209.5,navio,navio 0.58,0.58,1645144056.3998873
0,0,360,640,320.0,180.0,navio,navio 0.41,0.41,1645144058.0507548
58,0,360,640,320.0,209.0,navio,navio 0.31,0.31,1645144059.818667
9,0,360,640,320.0,184.5,navio,navio 0.33,0.33,1645144063.278522
0,0,360,640,320.0,180.0,navio,navio 0.42,0.42,1645144064.9904726
65,0,360,640,320.0,212.5,navio,navio 0.38,0.38,1645144072.455594
0,0,360,640,320.0,180.0,navio,navio 0.45,0.45,1645144074.1772985
50,0,360,640,320.0,205.0,navio,navio 0.42,0.42,1645144075.7574253
0,0,360,640,320.0,180.0,navio,navio 0.36,0.36,1645144077.470491
9,0,360,640,320.0,184.5,navio,navio 0.30,0.30,1645144079.0907984
12,0,360,640,320.0,186.0,navio,navio 0.34,0.34,1645144082.3866754
33,0,360,640,320.0,196.5,navio,navio 0.30,0.30,1645144084.2905061
23,0,360,640,320.0,191.5,navio,navio 0.51,0.51,1645144089.4970229
36,0,360,640,320.0,198.0,navio,navio 0.36,0.36,1645144091.2300632
39,0,360,640,320.0,199.5,navio,navio 0.43,0.43,1645144092.891125
48,0,360,640,320.0,204.0,navio,navio 0.43,0.43,1645144094.5510507
44,0,360,640,320.0,202.0,navio,navio 0.44,0.44,1645144096.3608444
53,0,360,640,320.0,206.5,navio,navio 0.51,0.51,1645144098.1695743
186,58,356,587,322.5,271.0,meianau,meianau 0.33,0.33,1645144099.9075532
39,0,360,640,320.0,199.5,navio,navio 0.53,0.53,1645144099.9075956
183,79,358,567,323.0,270.5,meianau,meianau 0.38,0.38,1645144101.9766145
40,0,360,640,320.0,200.0,navio,navio 0.48,0.48,1645144101.9766436
187,84,356,561,322.5,271.5,meianau,meianau 0.38,0.38,1645144103.8847158
0,0,360,640,320.0,180.0,navio,navio 0.44,0.44,1645144103.884777
178,75,360,566,320.5,269.0,meianau,meianau 0.38,0.38,1645144105.81481
0,0,360,640,320.0,180.0,navio,navio 0.49,0.49,1645144105.814851
183,77,360,563,320.0,271.5,meianau,meianau 0.39,0.39,1645144107.4569705
0,0,360,640,320.0,180.0,navio,navio 0.56,0.56,1645144107.4569964
165,78,360,553,315.5,262.5,meianau,meianau 0.41,0.41,1645144109.0619605
0,0,360,640,320.0,180.0,navio,navio 0.53,0.53,1645144109.0620198
177,75,360,554,314.5,268.5,meianau,meianau 0.43,0.43,1645144110.7667074
0,0,360,640,320.0,180.0,navio,navio 0.61,0.61,1645144110.7667391
190,102,344,530,316.0,267.0,meianau,meianau 0.46,0.46,1645144112.695908
10,0,360,640,320.0,185.0,navio,navio 0.65,0.65,1645144112.6959507
187,108,345,519,313.5,266.0,meianau,meianau 0.37,0.37,1645144114.4897392
20,0,360,640,320.0,190.0,navio,navio 0.75,0.75,1645144114.489765
44,0,360,640,320.0,202.0,navio,navio 0.72,0.72,1645144116.3894498
0,0,360,640,320.0,180.0,navio,navio 0.42,0.42,1645144118.1406877
48,0,360,640,320.0,204.0,navio,navio 0.74,0.74,1645144118.1407154
0,0,360,640,320.0,180.0,navio,navio 0.33,0.33,1645144119.7697935
25,0,360,640,320.0,192.5,navio,navio 0.75,0.75,1645144119.7698302
54,0,360,640,320.0,207.0,navio,navio 0.86,0.86,1645144121.5636883
15,0,360,640,320.0,187.5,navio,navio 0.58,0.58,1645144123.14468
20,0,360,640,320.0,190.0,navio,navio 0.77,0.77,1645144124.8770406
28,0,360,640,320.0,194.0,navio,navio 0.67,0.67,1645144126.5646904
18,0,360,640,320.0,189.0,navio,navio 0.64,0.64,1645144128.1343052
28,0,360,640,320.0,194.0,navio,navio 0.53,0.53,1645144129.8443213
30,0,360,640,320.0,195.0,navio,navio 0.56,0.56,1645144131.5891676
18,0,360,640,320.0,189.0,navio,navio 0.50,0.50,1645144133.3337314
116,62,352,586,324.0,234.0,meianau,meianau 0.65,0.65,1645144135.134639
38,0,360,640,320.0,199.0,navio,navio 0.82,0.82,1645144135.1346805
0,0,360,640,320.0,180.0,navio,navio 0.38,0.38,1645144136.8193457
27,0,360,640,320.0,193.5,navio,navio 0.50,0.50,1645144138.5347643
19,0,360,640,320.0,189.5,navio,navio 0.54,0.54,1645144140.2548616
115,37,356,612,324.5,235.5,meianau,meianau 0.42,0.42,1645144141.8999991
0,0,360,640,320.0,180.0,navio,navio 0.73,0.73,1645144141.9000316
105,27,357,621,324.0,231.0,meianau,meianau 0.51,0.51,1645144143.6933596
10,0,355,640,320.0,182.5,navio,navio 0.77,0.77,1645144143.6933887
27,0,360,640,320.0,193.5,navio,navio 0.53,0.53,1645144145.414898
0,0,360,640,320.0,180.0,navio,navio 0.39,0.39,1645144147.1679618
34,16,360,637,326.5,197.0,navio,navio 0.61,0.61,1645144147.1680148
96,20,360,626,323.0,228.0,meianau,meianau 0.38,0.38,1645144149.0457761
0,0,360,640,320.0,180.0,navio,navio 0.75,0.75,1645144149.0458186
18,0,360,640,320.0,189.0,navio,navio 0.70,0.70,1645144152.449003
51,0,360,640,320.0,205.5,navio,navio 0.76,0.76,1645144154.20465
31,0,360,640,320.0,195.5,navio,navio 0.76,0.76,1645144156.0386567
29,0,360,640,320.0,194.5,navio,navio 0.60,0.60,1645144157.7148426
10,0,360,640,320.0,185.0,navio,navio 0.62,0.62,1645144159.4351678
0,0,360,640,320.0,180.0,navio,navio 0.52,0.52,1645144161.4889581
6,0,360,640,320.0,183.0,navio,navio 0.42,0.42,1645144163.253455
17,0,360,640,320.0,188.5,navio,navio 0.55,0.55,1645144165.0901778
16,0,360,640,320.0,188.0,navio,navio 0.62,0.62,1645144166.6948006
39,0,360,640,320.0,199.5,navio,navio 0.66,0.66,1645144168.6038022
