yaw_encoder,data,dt
45.0,2021-04-26 19:19:44.323409,21.000065999999993
45.0,2021-04-26 19:19:44.523098,21.199736999999992
45.0,2021-04-26 19:19:44.722527,21.399182999999994
45.0,2021-04-26 19:19:44.922097,21.598752999999995
45.0,2021-04-26 19:19:45.121596,21.798256999999996
45.0,2021-04-26 19:19:45.321188,21.997848999999995
45.0,2021-04-26 19:19:45.520736,22.197393999999996
45.0,2021-04-26 19:19:45.720304,22.396959999999996
45.0,2021-04-26 19:19:45.923776,22.600437999999997
45.0,2021-04-26 19:19:46.123327,22.799977
45.0,2021-04-26 19:19:46.322957,22.999613
45.0,2021-04-26 19:19:46.522473,23.199125
45.0,2021-04-26 19:19:46.721988,23.398645
45.0,2021-04-26 19:19:46.921575,23.598231
45.0,2021-04-26 19:19:47.121477,23.798132
45.0,2021-04-26 19:19:47.320692,23.997346
45.0,2021-04-26 19:19:47.520200,24.196856
45.0,2021-04-26 19:19:47.723702,24.400362
45.0,2021-04-26 19:19:47.923254,24.599906
45.0,2021-04-26 19:19:48.129837,24.80649
45.0,2021-04-26 19:19:48.322335,24.99899
45.0,2021-04-26 19:19:48.525834,25.202488
45.0,2021-04-26 19:19:48.721453,25.39811
45.0,2021-04-26 19:19:48.920998,25.597655
45.0,2021-04-26 19:19:49.120531,25.79719
45.0,2021-04-26 19:19:49.322091,25.99875
45.0,2021-04-26 19:19:49.523790,26.200421000000002
45.0,2021-04-26 19:19:49.723144,26.399802
45.0,2021-04-26 19:19:49.922717,26.599373
45.0,2021-04-26 19:19:50.122256,26.798908
45.0,2021-04-26 19:19:50.321848,26.998503
45.0,2021-04-26 19:19:50.521456,27.198106
45.0,2021-04-26 19:19:50.720991,27.397648999999998
45.0,2021-04-26 19:19:50.920516,27.59716
45.0,2021-04-26 19:19:51.120017,27.796674
45.0,2021-04-26 19:19:51.323530,28.000187
45.0,2021-04-26 19:19:51.523080,28.199732
45.0,2021-04-26 19:19:51.722638,28.399294
45.0,2021-04-26 19:19:51.922177,28.598832
45.0,2021-04-26 19:19:52.121748,28.798404
45.0,2021-04-26 19:19:52.321268,28.997923
45.0,2021-04-26 19:19:52.520868,29.197519
45.0,2021-04-26 19:19:52.720389,29.397047999999998
45.0,2021-04-26 19:19:52.919942,29.596597
45.0,2021-04-26 19:19:53.123503,29.800152
45.0,2021-04-26 19:19:53.324016,30.000672
45.0,2021-04-26 19:19:53.522545,30.199189
45.0,2021-04-26 19:19:53.722080,30.398736
45.0,2021-04-26 19:19:53.921614,30.598269
45.0,2021-04-26 19:19:54.125164,30.801813999999997
45.0,2021-04-26 19:19:54.320721,30.997364999999995
45.0,2021-04-26 19:19:54.520300,31.196954999999996
45.0,2021-04-26 19:19:54.719826,31.396481999999995
45.0,2021-04-26 19:19:54.923332,31.599983999999996
45.0,2021-04-26 19:19:55.122960,31.799614999999996
45.0,2021-04-26 19:19:55.322436,31.999088999999994
45.0,2021-04-26 19:19:55.521994,32.198649999999994
45.0,2021-04-26 19:19:55.722556,32.399212999999996
45.0,2021-04-26 19:19:55.921092,32.597747999999996
45.0,2021-04-26 19:19:56.120657,32.797312
45.0,2021-04-26 19:19:56.320213,32.99687
45.0,2021-04-26 19:19:56.519794,33.196448000000004
45.0,2021-04-26 19:19:56.719369,33.396016
45.0,2021-04-26 19:19:56.922785,33.599438000000006
45.0,2021-04-26 19:19:57.122332,33.798986000000006
45.0,2021-04-26 19:19:57.321883,33.99853900000001
45.0,2021-04-26 19:19:57.521457,34.19811400000001
45.0,2021-04-26 19:19:57.721017,34.397672000000014
45.0,2021-04-26 19:19:57.920512,34.597169000000015
45.0,2021-04-26 19:19:58.120184,34.79684200000001
45.0,2021-04-26 19:19:58.319681,34.99632900000001
45.0,2021-04-26 19:19:58.520740,35.19739900000001
45.0,2021-04-26 19:19:58.722655,35.39931500000001
45.0,2021-04-26 19:19:58.922200,35.59885800000001
45.0,2021-04-26 19:19:59.121809,35.798457000000006
45.0,2021-04-26 19:19:59.321339,35.997995
45.0,2021-04-26 19:19:59.520890,36.197548000000005
45.0,2021-04-26 19:19:59.721430,36.398086000000006
45.0,2021-04-26 19:19:59.919991,36.59664800000001
45.0,2021-04-26 19:20:00.119560,36.79621600000001
45.0,2021-04-26 19:20:00.319069,36.99572700000001
45.0,2021-04-26 19:20:00.525762,37.20242100000001
45.0,2021-04-26 19:20:00.722127,37.39878200000001
45.0,2021-04-26 19:20:00.921719,37.59837700000001
45.0,2021-04-26 19:20:01.121302,37.797953000000014
45.0,2021-04-26 19:20:01.320881,37.99753800000001
45.0,2021-04-26 19:20:01.520350,38.19700700000001
45.0,2021-04-26 19:20:01.719877,38.396537000000016
45.0,2021-04-26 19:20:01.919462,38.59611800000002
45.0,2021-04-26 19:20:02.119046,38.795704000000015
45.0,2021-04-26 19:20:02.322656,38.99930000000001
45.0,2021-04-26 19:20:02.522040,39.19869600000001
45.0,2021-04-26 19:20:02.721631,39.39828600000001
45.0,2021-04-26 19:20:02.921272,39.59791000000001
45.0,2021-04-26 19:20:03.120772,39.79741600000001
45.0,2021-04-26 19:20:03.320425,39.997081000000016
45.0,2021-04-26 19:20:03.519814,40.19646700000001
45.0,2021-04-26 19:20:03.719354,40.39601200000001
45.0,2021-04-26 19:20:03.918890,40.59554600000001
45.0,2021-04-26 19:20:04.122403,40.79905800000002
45.0,2021-04-26 19:20:04.321942,40.99859700000002
45.0,2021-04-26 19:20:04.521510,41.198166000000015
45.0,2021-04-26 19:20:04.721995,41.398651000000015
45.0,2021-04-26 19:20:04.920628,41.597284000000016
45.0,2021-04-26 19:20:05.120162,41.796818000000016
45.0,2021-04-26 19:20:05.321900,41.998556000000015
45.0,2021-04-26 19:20:05.519289,42.195945000000016
45.0,2021-04-26 19:20:05.719505,42.39616100000001
45.0,2021-04-26 19:20:05.922276,42.59893000000002
45.0,2021-04-26 19:20:06.121862,42.798521000000015
45.0,2021-04-26 19:20:06.321503,42.998162000000015
45.0,2021-04-26 19:20:06.521707,43.198357000000016
45.0,2021-04-26 19:20:06.720500,43.397157000000014
45.0,2021-04-26 19:20:06.924086,43.60074200000001
45.0,2021-04-26 19:20:07.123885,43.80054700000001
45.0,2021-04-26 19:20:07.319157,43.99581500000001
45.0,2021-04-26 19:20:07.518696,44.195355000000006
45.0,2021-04-26 19:20:07.722197,44.39885600000001
45.0,2021-04-26 19:20:07.921821,44.59847300000001
45.0,2021-04-26 19:20:08.121920,44.79857400000001
45.0,2021-04-26 19:20:08.320893,44.99754900000001
45.0,2021-04-26 19:20:08.520418,45.19707600000001
45.0,2021-04-26 19:20:08.719983,45.39664300000001
45.0,2021-04-26 19:20:08.919717,45.59635700000001
45.0,2021-04-26 19:20:09.119075,45.79573300000001
45.0,2021-04-26 19:20:09.318635,45.99529500000001
45.0,2021-04-26 19:20:09.521911,46.19856400000001
45.0,2021-04-26 19:20:09.721705,46.39835400000001
45.0,2021-04-26 19:20:09.922174,46.59882500000001
45.0,2021-04-26 19:20:10.120739,46.79739700000001
45.0,2021-04-26 19:20:10.320318,46.99697700000001
45.0,2021-04-26 19:20:10.519893,47.19654500000001
45.0,2021-04-26 19:20:10.719403,47.39606100000001
45.0,2021-04-26 19:20:10.919949,47.59660200000001
45.0,2021-04-26 19:20:11.118556,47.79521100000001
45.0,2021-04-26 19:20:11.318088,47.99473900000001
45.0,2021-04-26 19:20:11.521682,48.19831500000001
45.0,2021-04-26 19:20:11.721162,48.397785000000006
45.0,2021-04-26 19:20:11.920695,48.597353000000005
45.0,2021-04-26 19:20:12.120225,48.79687800000001
45.0,2021-04-26 19:20:12.319814,48.996469000000005
45.0,2021-04-26 19:20:12.519316,49.19597400000001
45.0,2021-04-26 19:20:12.718845,49.395503000000005
45.0,2021-04-26 19:20:12.918417,49.595074000000004
45.0,2021-04-26 19:20:13.118054,49.794709000000005
45.0,2021-04-26 19:20:13.321493,49.998144
45.0,2021-04-26 19:20:13.521571,50.198228
45.0,2021-04-26 19:20:13.720587,50.397243
45.0,2021-04-26 19:20:13.920140,50.596797
45.0,2021-04-26 19:20:14.119791,50.796433
45.0,2021-04-26 19:20:14.319224,50.995881
45.0,2021-04-26 19:20:14.518874,51.195527999999996
45.0,2021-04-26 19:20:14.718367,51.395024
45.0,2021-04-26 19:20:14.917877,51.594535
45.0,2021-04-26 19:20:15.121365,51.798021
45.0,2021-04-26 19:20:15.320984,51.997628999999996
45.0,2021-04-26 19:20:15.520534,52.197191
45.0,2021-04-26 19:20:15.720038,52.396696
45.0,2021-04-26 19:20:15.919587,52.596243
45.0,2021-04-26 19:20:16.119284,52.795921
45.0,2021-04-26 19:20:16.318754,52.995402
45.0,2021-04-26 19:20:16.518252,53.194911
45.0,2021-04-26 19:20:16.717832,53.394489
45.0,2021-04-26 19:20:16.921325,53.597983
45.0,2021-04-26 19:20:17.121095,53.797747
45.0,2021-04-26 19:20:17.320377,53.997035000000004
45.0,2021-04-26 19:20:17.520014,54.196673000000004
45.0,2021-04-26 19:20:17.719494,54.396153000000005
45.0,2021-04-26 19:20:17.919056,54.59571100000001
45.0,2021-04-26 19:20:18.118573,54.79523100000001
45.0,2021-04-26 19:20:18.318159,54.994817000000005
45.0,2021-04-26 19:20:18.517766,55.19442000000001
45.0,2021-04-26 19:20:18.721231,55.39786600000001
45.0,2021-04-26 19:20:18.920721,55.59737700000001
45.0,2021-04-26 19:20:19.120288,55.79694400000001
45.0,2021-04-26 19:20:19.319830,55.996488000000014
45.0,2021-04-26 19:20:19.519428,56.196083000000016
45.0,2021-04-26 19:20:19.718930,56.395589000000015
45.0,2021-04-26 19:20:19.918510,56.595165000000016
45.0,2021-04-26 19:20:20.118133,56.79478500000002
45.0,2021-04-26 19:20:20.317613,56.99427200000002
45.0,2021-04-26 19:20:20.521111,57.197769000000015
45.0,2021-04-26 19:20:20.720645,57.397303000000015
45.0,2021-04-26 19:20:20.920193,57.596848000000016
45.0,2021-04-26 19:20:21.121803,57.79846300000001
45.0,2021-04-26 19:20:21.319302,57.99595900000001
45.0,2021-04-26 19:20:21.523025,58.19968200000001
45.0,2021-04-26 19:20:21.721838,58.39849500000001
45.0,2021-04-26 19:20:21.917972,58.59463000000001
45.0,2021-04-26 19:20:22.117551,58.79421100000001
45.0,2021-04-26 19:20:22.317073,58.99373200000001
45.0,2021-04-26 19:20:22.520529,59.19719100000001
45.0,2021-04-26 19:20:22.720084,59.39674100000001
45.0,2021-04-26 19:20:22.919728,59.59638000000001
45.0,2021-04-26 19:20:23.119274,59.79592700000001
45.0,2021-04-26 19:20:23.318791,59.99544400000001
45.0,2021-04-26 19:20:23.518300,60.194958000000014
45.0,2021-04-26 19:20:23.721511,60.39816800000001
45.0,2021-04-26 19:20:23.917414,60.59407000000001
45.0,2021-04-26 19:20:24.116957,60.79361500000001
45.0,2021-04-26 19:20:24.321511,60.99816700000001
45.0,2021-04-26 19:20:24.520031,61.19667600000001
45.0,2021-04-26 19:20:24.719571,61.39622800000001
45.0,2021-04-26 19:20:24.920308,61.59696300000001
45.0,2021-04-26 19:20:25.118703,61.79535900000001
45.0,2021-04-26 19:20:25.318211,61.99486700000001
45.0,2021-04-26 19:20:25.517796,62.19445000000001
45.0,2021-04-26 19:20:25.717385,62.39404300000001
45.0,2021-04-26 19:20:25.916865,62.59352100000001
45.0,2021-04-26 19:20:26.120359,62.797016000000006
