X,Y,Altura,Orientacao,Tempo
44.65256118774414,-302.01165771484375,2.01509952545166,172.59250210958325,1644972766.629599
44.128231048583984,-303.549560546875,-33.91689682006836,170.0237830728748,1644972811.7736287
44.115814208984375,-303.5488586425781,-33.91441345214844,169.8025965195747,1644972811.9746885
44.04608154296875,-303.5411376953125,-33.90399169921875,169.58536657143082,1644972812.175328
43.902076721191406,-303.52294921875,-33.900909423828125,169.92083060414532,1644972812.37603
43.79034423828125,-303.50823974609375,-33.904056549072266,170.26036518899696,1644972812.5767307
43.66577911376953,-303.49029541015625,-33.89994430541992,170.24312541991569,1644972812.777874
43.46785354614258,-303.4620666503906,-33.910614013671875,171.34023744265875,1644972813.3801572
43.39167785644531,-303.45184326171875,-33.92756271362305,171.65657406494964,1644972813.5808487
43.33546447753906,-303.4451599121094,-33.93104553222656,171.9230040507614,1644972813.7816362
43.20405197143555,-303.4349365234375,-33.929710388183594,172.4960707606495,1644972813.98252
43.025428771972656,-303.4198913574219,-33.9366340637207,172.97409851237393,1644972814.1832397
42.85242462158203,-303.4012145996094,-33.945472717285156,172.77765094766207,1644972814.3844314
42.79637145996094,-303.392333984375,-33.9465446472168,172.86793189166656,1644972814.5854433
42.691287994384766,-303.3775329589844,-33.9437370300293,172.63831065718125,1644972814.7869465
42.52763748168945,-303.35321044921875,-33.94154739379883,172.5179676543145,1644972814.987494
42.444190979003906,-303.3420715332031,-33.94059371948242,172.30959854912916,1644972815.1883376
42.30449676513672,-303.32611083984375,-33.93728256225586,171.86844240357635,1644972815.3898253
42.13698959350586,-303.3073425292969,-33.93321990966797,171.09010277678144,1644972815.590894
42.02606201171875,-303.2928771972656,-33.926570892333984,170.65507996039233,1644972815.792788
41.8780517578125,-303.2745361328125,-33.9207649230957,169.96956333628026,1644972815.994936
41.73747634887695,-303.2565002441406,-33.91521453857422,169.50697006496765,1644972816.196113
41.58409118652344,-303.2369689941406,-33.91102981567383,168.88889127457807,1644972816.3968349
41.40872573852539,-303.21295166015625,-33.911102294921875,168.51244646541417,1644972816.5981147
41.25872039794922,-303.19158935546875,-33.915164947509766,168.5089455344593,1644972816.7992492
41.114322662353516,-303.1729431152344,-33.92180252075195,168.3393452977228,1644972817.0001326
40.985145568847656,-303.1584777832031,-33.929283142089844,168.2001561463015,1644972817.2009003
40.89457321166992,-303.14715576171875,-33.93356704711914,168.22159321626978,1644972817.4021084
40.775291442871094,-303.13037109375,-33.937965393066406,168.59826463612757,1644972817.6041183
40.68522262573242,-303.11517333984375,-33.939903259277344,168.65366573716955,1644972817.8047705
40.53477096557617,-303.0845031738281,-33.945926666259766,169.15257859872253,1644972818.0054955
40.391056060791016,-303.05828857421875,-33.95092010498047,169.62246924925915,1644972818.2065024
40.23911666870117,-303.0248107910156,-33.957332611083984,170.14326224657927,1644972818.4072566
40.12600326538086,-302.99810791015625,-33.960140228271484,170.70234914189967,1644972818.6079464
39.971824645996094,-302.9635314941406,-33.96316146850586,171.52525499493746,1644972818.8087955
39.79367446899414,-302.9341735839844,-33.9694938659668,172.4836132234632,1644972819.0101953
39.61918258666992,-302.90802001953125,-33.975067138671875,172.90873528239788,1644972819.2107832
39.47211837768555,-302.8794860839844,-33.98215103149414,173.3301498538369,1644972819.4117765
39.384708404541016,-302.8625793457031,-33.98638916015625,173.52786610099676,1644972819.6129372
39.243324279785156,-302.8352966308594,-33.99586868286133,173.86371588922452,1644972819.8135111
39.08586120605469,-302.8024597167969,-34.00883865356445,174.2805093616015,1644972820.014068
